"id","sample","box","thick.samp","temp.c","rh.tar","speed.tar","headspace","speed","dm","c.etoh.i","rho.d","por.g","emis.t","emis.n","pred1","resid1"
124,"C2009JUNE10B","B",0.15,20,70,0.5,0.01,0.56338796420018,35.07,2305.42540990099,226.022099009901,0.439515887896195,1.11675204485648,0.127894844820539,-1.22239104281388,0.329244082123539
125,"C2009JUNE10D","D",0.15,20,70,0.5,0.01,0.565898282169171,34.9,1972.89354455446,184.382574257426,0.540206967669174,1.54306071138677,0.206503168813896,-1.22198210539925,0.536908825739514
126,"C2009JUNE10A","A",0.15,20,70,0.5,0.01,0.57712990390021,34.89,2516.91163168317,235.225386138614,0.413227216014571,1.70867062850334,0.179241159547236,-1.22015244461142,0.47359018940017
131,"C2009JUNE30B","B",0.15,5,70,0.5,0.01,0.520668086380962,35.1,3628.10281188119,255.500198019802,0.367868753318792,0.702801332333704,0.0511446662810087,-1.46930489220271,0.178105241384667
132,"C2009JUNE30D","D",0.15,20,70,0.05,0.088,0.0439689962892501,33.44,3482.17452145215,256.042244224422,0.329421066296469,0.41896635533385,0.031766983229769,-1.30700576193444,-0.191018264310902
133,"C2009JUNE30C","C",0.15,20,70,5,0.01,5.01408956840702,35.8,3367.46851485148,287.817821782178,0.303041353589041,4.47411943288331,0.350793378954332,-0.497360018929635,0.0424114066147022
135,"C2009JULY06C","C",0.15,35,70,5,0.01,5.07209899585629,32.68,3440.3260620462,291.55305610561,0.213593070677113,6.52502450061393,0.500760310205023,-0.247955461601073,-0.052414638607946
136,"C2009JULY06D","D",0.15,35,70,0.05,0.088,0.0420380945752457,32.04,3764.47794059406,259.619168316832,0.283764748637684,1.02026619555526,0.0715576548989988,-1.06736564223614,-0.0779782584162141
137,"C2009JULY06B","B",0.15,5,70,0.05,0.088,0.0446265254897694,32.02,3562.09501782178,269.855683168317,0.258395676270805,0.21551655348938,0.0159743241105411,-1.54685331737193,-0.249724190838139
138,"C2009JULY13A","A",0.15,20,70,0.5,0.1,0.508601122959816,32.87,3079.25292145215,287.780646864687,0.231347277259643,0.925088715166766,0.0793204883843709,-1.23131596367632,0.130701343213426
140,"C2009JULY13C","C",0.15,5,70,0.5,0.1,0.487025006953916,33.49,3036.09950363036,283.747617161716,0.259117161060612,0.319541487303264,0.0277880844439121,-1.47478543852838,-0.0813559515100766
141,"C2009JULY13B","B",0.15,5,70,0.5,0.01,0.516856997435958,32.93,3198.44851485149,293.435643564356,0.218920123899787,0.339383004189161,0.0280154810362706,-1.46992572863831,-0.0826761874956547
142,"C 2009JULY16A","A",0.15,20,70,0.5,0.01,0.561333961128066,33.5,3070.11247524752,300.991419141914,0.213313436108296,0.579264547042904,0.0498161340230537,-1.22272564532892,-0.0799043335501112
143,"C2009JULY16D","D",0.15,35,70,0.05,0.1,0.0520159550463698,33.42,3459.84134653465,290.74297029703,0.235595379177233,0.999293112275678,0.0762577642126857,-1.06574022246261,-0.0519757094128388
144,"C2009JULY16C","C",0.15,5,70,0.05,0.1,0.047449967154766,33.45,3372.28725148515,278.701425742574,0.27129788654551,0.22835541437075,0.0178786248274619,-1.54639337128179,-0.201272517659483
145,"C2009JULY20A","A",0.15,20,70,0.5,0.01,0.581714792162268,32.57,3168.97715643564,268.557386138614,0.27515282501445,0.78470789538149,0.0653786987136319,-1.21940555422724,0.0348418264349873
146,"C2009JULY20B","B",0.15,35,70,0.5,0.01,0.571588777724108,32.89,3930.37019669967,288.997808580858,0.226165488462741,0.844097493958488,0.0567030619646619,-0.981100439994968,-0.26529304858212
156,"C2009AUG06A","A",0.15,20,70,5,0.01,5.02729046419645,32.76,2542.72091881188,273.410851485148,0.266930539250921,4.46843485712813,0.463985163307333,-0.495209558206464,0.161713651699331
159,"C2009AUG06D","D",0.15,5,70,5,0.01,4.87961454280482,34.86,2379.81281584158,273.541702970297,0.317866753439006,1.81089072493317,0.200907802704493,-0.75922102376938,0.0622178276440654
164,"C2009AUG10A","A",0.15,35,70,5,0.01,5.0421247383872,34.68,2723.536,286.688,0.277609950517888,4.9155582058178,0.476526526563595,-0.252838347158362,-0.0690745715408741
166,"C2009AUG10B","B",0.15,5,70,5,0.01,4.95318562384051,34.41,2544.35035247525,302.898851485149,0.233294898361868,0.955171040796729,0.0991177860243877,-0.747236100726874,-0.256612306552113
167,"C2009AUG10D","D",0.15,20,70,0.05,0.1,0.0467265646850353,31.81,2819.4536290429,265.986191419142,0.26254590213143,0.351648276881083,0.0329299367023379,-1.3065565467735,-0.175852557311187
170,"C2009AUG13A","A",0.15,35,70,0.5,0.01,0.558915371541693,35.18,2690.82647656766,305.775735973597,0.242119445795513,0.813750941545842,0.0798460010753035,-0.983164971270633,-0.114581858466742
